Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.116250,6.464161,-7.545501,41.158000,39.525000,0.000000,1.056615,6.464161, 
0.116667,6.566758,-7.513380,41.195000,39.562000,0.000000,1.056615,6.566758, 
0.117083,6.668827,-7.481259,41.237000,39.600000,0.000000,1.056615,6.668827, 
0.117500,6.770685,-7.450300,41.275000,39.641000,0.000000,1.056615,6.770685, 
0.117917,6.872120,-7.419024,41.316000,39.679000,0.000000,1.056615,6.872120, 
0.118333,6.973027,-7.388382,41.358000,39.720000,0.000000,1.056615,6.973027, 
0.118750,7.073722,-7.358163,41.395000,39.758000,0.000000,1.056615,7.073722, 
0.119167,7.173678,-7.328578,41.437000,39.804000,0.000000,1.056615,7.173678, 
0.119583,7.273528,-7.299310,41.475000,39.841000,0.000000,1.056615,7.273528, 
0.120000,7.372744,-7.270253,41.516000,39.883000,0.000000,1.056615,7.372744, 
0.120417,7.471855,-7.241935,41.558000,39.920000,0.000000,1.056615,7.471855, 
0.120833,7.570331,-7.214041,41.595000,39.958000,0.000000,1.056615,7.570331, 
0.121250,7.668068,-7.186146,41.637000,40.000000,0.000000,1.056615,7.668068, 
0.121667,7.765594,-7.159097,41.675000,40.037000,0.000000,1.056615,7.765594, 
0.122083,7.863014,-7.132470,41.716000,40.079000,0.000000,1.056615,7.863014, 
0.122500,7.959800,-7.105526,41.754000,40.116000,0.000000,1.056615,7.959800, 
0.122917,8.056163,-7.079639,41.795000,40.158000,0.000000,1.056615,8.056163, 
0.123333,8.152421,-7.053541,41.837000,40.200000,0.000000,1.056615,8.152421, 
0.123750,8.247727,-7.028182,41.875000,40.241000,0.000000,1.056615,8.247727, 
0.124167,8.342823,-7.003035,41.916000,40.279000,0.000000,1.056615,8.342823, 
0.124583,8.437496,-6.978204,41.954000,40.320000,0.000000,1.056615,8.437496, 
0.125000,8.531746,-6.953902,41.995000,40.362000,0.000000,1.056615,8.531746, 
0.125417,8.625150,-6.930023,42.033000,40.400000,0.000000,1.056615,8.625150, 
0.125833,8.718555,-6.906671,42.075000,40.441000,0.000000,1.056615,8.718555, 
0.126250,8.811537,-6.883214,42.116000,40.479000,0.000000,1.056615,8.811537, 
0.126667,8.903674,-6.860180,42.154000,40.520000,0.000000,1.056615,8.903674, 
0.127083,8.995811,-6.837569,42.195000,40.562000,0.000000,1.056615,8.995811, 
0.127500,9.087525,-6.815485,42.233000,40.604000,0.000000,1.056615,9.087525, 
0.127917,9.178817,-6.793508,42.275000,40.645000,0.000000,1.056615,9.178817, 
0.128333,9.269474,-6.771530,42.316000,40.683000,0.000000,1.056615,9.269474, 
0.128750,9.359709,-6.750398,42.354000,40.725000,0.000000,1.056615,9.359709, 
0.129167,9.450050,-6.729477,42.395000,40.762000,0.000000,1.056615,9.450050, 
